Title,Author,Length
House of Flame and Shadow,By: Sarah J. Maas,Length: 29 hrs and 42 mins
The Bratva's Bride,By: Rose Chase,Length: 19 hrs and 44 mins
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 23 mins
"The Borrowed World Box Set, Volume Three: Books 7-9",By: Franklin Horton,Length: 27 hrs and 52 mins
Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
The Night Woods,By: Paula Munier,Length: 11 hrs and 41 mins
Bad Moon,By: Jodi Taylor,Length: 10 hrs
Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
Our Evenings,By: Alan Hollinghurst,Length: 16 hrs and 36 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],By: Sarah J. Maas,Length: 6 hrs and 11 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
Void Drifter 3,"By: Jason Anspach, J.N. Chaney",Length: 11 hrs and 40 mins
Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
Harry Potter and the Chamber of Secrets (Narrated by Stephen Fry),By: J.K. Rowling,Length: 9 hrs and 43 mins
Exposing the Devil's Playbook,By: John Ramirez,Length: 5 hrs and 59 mins
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),By: J.K. Rowling,Length: 20 hrs and 54 mins
Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
Secrets of the Lost Ledgers,By: C.J. Archer,Length: 8 hrs and 17 mins
The Briar Club,By: Kate Quinn,Length: 15 hrs and 3 mins
Confronting the Presidents,"By: Bill O'Reilly, Martin Dugard",Length: 16 hrs and 26 mins
When He Dares,By: Suzanne Wright,Length: 11 hrs and 48 mins
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 1 min
The Message,By: Ta-Nehisi Coates,Length: 5 hrs and 20 mins
The Witches of El Paso,By: Luis Jaramillo,Length: 9 hrs and 50 mins
Never Lie,By: Freida McFadden,Length: 7 hrs and 21 mins
Undeniably Infatuated,"By: J. Saman, Julie Saman",Length: 11 hrs and 28 mins
Bananapants,By: Penny Reid,Length: 15 hrs and 20 mins
It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
The Boyfriend Goal,By: Lauren Blakely,Length: 11 hrs and 51 mins
Hate Me,By: Summer O'Toole,Length: 8 hrs and 18 mins
A Kingdom of Flesh and Fire,By: Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Monarch,By: Sophie Lark,Length: 9 hrs and 7 mins
Able to Laugh,"By: Jade Reynolds, John Reynolds",Length: 4 hrs and 51 mins
In the Shadow of Kings,By: Philip C. Quaintrell,Length: 27 hrs and 12 mins
He Who Fights with Monsters 5,"By: Shirtaloon, Travis Deverell",Length: 20 hrs and 5 mins
The Dragon's Blade Trilogy,By: Michael R. Miller,Length: 45 hrs and 58 mins
12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
Pachinko,By: Min Jin Lee,Length: 17 hrs and 48 mins
Bad to the Throne,By: Eric Ugland,Length: 13 hrs and 17 mins
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
Starship Troopers,By: Robert A. Heinlein,Length: 8 hrs and 15 mins
The Witching Hour,By: Anne Rice,Length: 50 hrs and 1 min
"Chrysalis, Books 1-3",By: RinoZ,Length: 54 hrs and 41 mins
Hillbilly Elegy,By: J. D. Vance,Length: 6 hrs and 49 mins
True Believer,By: Jack Carr,Length: 15 hrs and 44 mins
Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
Dungeon Crawler Carl,By: Matt Dinniman,Length: 13 hrs and 31 mins
Stroke,By: Stephanie Nicole Norris,Length: 3 hrs and 53 mins
Christmasland,By: Anne-Marie Meyer,Length: 5 hrs and 44 mins
Wild Eyes,By: Elsie Silver,Length: 10 hrs and 26 mins
He Who Fights with Monsters 8,"By: Shirtaloon, Travis Deverell",Length: 18 hrs and 12 mins
All These Worlds,By: Dennis E. Taylor,Length: 7 hrs and 56 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins
Credence,By: Penelope Douglas,Length: 16 hrs and 55 mins
The Last Word on Power,By: Tracy Goss,Length: 10 hrs and 21 mins
Capture or Kill,"By: Vince Flynn, Don Bentley",Length: 12 hrs and 47 mins
The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
Warbreaker's Rage,By: Troy Osgood,Length: 20 hrs and 38 mins
Star Wars: Padawan's Pride,"By: Lucasfilm Press, Bryan Q. Miller",Length: 3 hrs and 57 mins
The Dark Tower I,By: Stephen King,Length: 7 hrs and 20 mins
48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
The Art of Power,By: Nancy Pelosi,Length: 10 hrs and 45 mins
You Can Heal Your Life (40th Anniversary Edition),By: Louise Hay,Length: 6 hrs and 55 mins
He Who Fights with Monsters 3,"By: Shirtaloon, Travis Deverell",Length: 24 hrs and 39 mins
Twisted Cross Ranch: The Complete Series,"By: K. Loraine, Meg Anne",Length: 15 hrs and 39 mins
We Solve Murders,By: Richard Osman,Length: 10 hrs and 32 mins
A Court of Frost and Starlight (Dramatized Adaptation),By: Sarah J. Maas,Length: 5 hrs and 33 mins
The Empress of Beasts,By: pirateaba,Length: 28 hrs and 59 mins
Welcome to Carnage,By: Selena Winters,Length: 2 hrs and 55 mins
Hell Divers XII: Heroes,By: Nicholas Sansbury Smith,Length: 13 hrs and 17 mins
"Your Soul Had a Dream, Your Life Is It",By: Rebecca Campbell,Length: 7 hrs and 45 mins
Under Your Scars,By: Ariel N. Anderson,Length: 19 hrs and 2 mins
The Wretched of the Earth,By: Frantz Fanon,Length: 9 hrs and 20 mins
Galaxy in Flames,By: Ben Counter,Length: 8 hrs and 50 mins
From Blood and Ash (Part 2 of 2) (Dramatized Adaptation),By: Jennifer L. Armentrout,Length: 7 hrs and 18 mins
The Wise Man's Fear,By: Patrick Rothfuss,Length: 42 hrs and 55 mins
He Who Fights with Monsters 4,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 20 mins
Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
Nexus (Spanish Edition),By: Yuval Noah Harari,Length: 17 hrs and 50 mins
Hexy Hijinks,By: Amanda M. Lee,Length: 10 hrs and 32 mins
The Assassin's Blade,By: Sarah J. Maas,Length: 12 hrs and 52 mins
The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
False Gods,By: Graham McNeill,Length: 11 hrs and 18 mins
Born of Blood and Ash,By: Jennifer L. Armentrout,Length: 37 hrs and 1 min
The Three-Body Problem,By: Cixin Liu,Length: 13 hrs and 26 mins
How Do You Feel?,By: Jessi Gold,Length: 7 hrs and 44 mins
Loving Mothers,By: Miranda Smith,Length: 8 hrs and 37 mins
Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
Things We Never Got Over,By: Lucy Score,Length: 16 hrs and 1 min
House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 11 hrs and 51 mins
The Next Conversation,By: Jefferson Fisher,Length: Not Yet Known
The Butcher Game,By: Alaina Urquhart,Length: 9 hrs and 55 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Targeted: Beirut,"By: Jack Carr, James M. Scott",Length: 14 hrs and 18 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 10 hrs
The Will of the Many,By: James Islington,Length: 28 hrs and 14 mins
Pretty Girls,By: Karin Slaughter,Length: 20 hrs
The Girl Who Was Taken,By: Charlie Donlea,Length: 10 hrs and 49 mins
Undoing,By: Jourdyn Kelly,Length: 10 hrs and 17 mins
Baskets and Beignets,By: Jana DeLeon,Length: 9 hrs and 39 mins
Red Rising,By: Pierce Brown,Length: 16 hrs and 12 mins
Caleb: Still in F*cking Noodle,By: Jeff Menapace,Length: 7 hrs and 54 mins
Umbral Savage,By: JD Glasscock,Length: 15 hrs and 21 mins
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
Here One Moment,By: Liane Moriarty,Length: 15 hrs and 53 mins
The Glitch,By: Leeanne Slade,Length: 11 hrs and 36 mins
Storm of Ink and Blood,By: Nisha J. Tuli,Length: 12 hrs and 55 mins
The Wedding Witch,By: Erin Sterling,Length: 6 hrs and 30 mins
"Days of Want Series, Books 1-7",By: T. L. Payne,Length: 43 hrs and 42 mins
What in the World?!,By: Leanne Morgan,Length: 6 hrs and 7 mins
Succubus Summoner: The Complete Omnibus,"By: Virgil Knightley, Annabelle Hawthorne",Length: 24 hrs and 49 mins
"Spirit of the Antichrist, Volume One: The Gathering Cloud of Deception",By: J.B. Hixson,Length: 9 hrs and 21 mins
The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 33 mins
Unfiltered,By: Guenther Steiner,Length: 7 hrs and 57 mins
The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
A Cage of Kingdoms,By: K.F Breene,Length: 17 hrs and 3 mins
Magitech Chronicles Omnibus,By: Chris Fox,Length: 108 hrs and 51 mins
"The America Falls Omnibus, Books 1-11",By: Scott Medbury,Length: 59 hrs and 35 mins
Heaven's River,By: Dennis E. Taylor,Length: 16 hrs and 57 mins
Fire & Blood (HBO Tie-in Edition),By: George R. R. Martin,Length: 26 hrs and 24 mins
Crossed Sticks,"By: Ryan Taylor, Joshua Harwood",Length: 8 hrs and 49 mins
Jurassic Park,By: Michael Crichton,Length: 15 hrs and 10 mins
The Five Year Lie,By: Sarina Bowen,Length: 12 hrs and 41 mins
Sparktopia,By: JA Huss,Length: 18 hrs and 47 mins
Part of Your World,By: Abby Jimenez,Length: 10 hrs and 5 mins
The Hobbit,By: J. R. R. Tolkien,Length: 10 hrs and 25 mins
Rather: The Therapist,By: Grey Huffington,Length: 11 hrs and 35 mins
Suburban Warlock 3,By: Noah Layton,Length: 6 hrs and 55 mins
The Book of George,By: Kate Greathead,Length: 9 hrs and 17 mins
"Colony of Lies: The Ghara Chronicles: Season One, Episode One",By: Chris Philbrook,Length: 3 hrs
He Who Fights with Monsters 9,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 3 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
Their Frozen Bones,By: D.K. Hood,Length: 7 hrs and 53 mins
The Love in Duet Collection,By: Lauren Blakely,Length: 32 hrs and 45 mins
The Return of the King,By: J. R. R. Tolkien,Length: 18 hrs and 19 mins
The Lightning Thief,By: Rick Riordan,Length: 10 hrs and 2 mins
Defiance of the Fall 2,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 30 mins
Counting Miracles,By: Nicholas Sparks,Length: 10 hrs and 45 mins
Rebirth of the Density God,By: ToraAKR,Length: 18 hrs and 44 mins
Heat of the Everflame,By: Penn Cole,Length: 34 hrs and 29 mins
The Book of Life,By: Deborah Harkness,Length: 23 hrs and 53 mins
Dragonfly in Amber,By: Diana Gabaldon,Length: 38 hrs and 54 mins
